source	target
ATP6V0C	RNPEPL1
ATP6V0C	CARM1
ATP6V0C	ZNF613
ATP6V0C	ASB9
ATP6V0C	FKBP8
ATP6V0C	G6PD
ATP6V0C	GSK3A
TUBG1	SCAMP3
TUBG1	EIF2B3
TUBG1	MRPL47
TUBG1	DNAJA4
TUBG1	TUBB4B
MANF	PPIB
LUM	FAT4
LUM	OGN
ANXA6	SELENBP1
ANXA6	COPG1
ANXA6	STUB1
ANXA6	ACSS2
ANXA6	DDX24
ANXA6	IFRD2
ANXA6	PLIN4
ANXA6	PLOD1
ANXA6	PTPN2
ANXA6	TNPO2
HIGD1A	TMEM167A
PSMC3	GSTP1
PSMC3	KLC1
BUD31	EAPP
NOP10	DYNLT1
NOP10	ERH
NOP10	TXNDC12
NOP10	ZNF618
HEXB	NEU1
HEXB	CYP1B1
HEXB	ETV6
HEXB	GM2A
HEXB	HNMT
HEXB	HOMER3
HEXB	HS3ST1
HEXB	SLC11A2
HEXB	ST3GAL5
NEU1	CCDC34
ATP5G2	ZNF581
ATP5G2	FAM98C
ATP5G2	SAMD5
ATP5G2	CLMP
ATP5G2	COX7A2L
ATP5G2	DRAM2
ATP5G2	SLC33A1
DDX47	ANKRD37
DDAH2	PSMC5
DDAH2	AGPAT6
MRPL41	PLEKHJ1
OLFML3	PCOLCE
OLFML3	GLT8D2
OLFML3	OLFML1
ATP5H	NDUFA4
ATP5H	ATP5J
ATP5H	CIC
ATP5H	MGRN1
ATP5H	PARK7
ATP5H	DCTN6
ATP5H	C19orf53
ATP5H	NDUFA12
ATP5H	ATP5O
ATP5H	NDUFB4
ATP5I	EIF3K
NGRN	REL
NGRN	TCP1
SH3BGRL3	EMP3
SH3BGRL3	ADSSL1
SH3BGRL3	FLNA
SH3BGRL3	GALNT6
SH3BGRL3	HMGA1
SH3BGRL3	LSP1
SH3BGRL3	MTERFD3
SH3BGRL3	PFN1
SH3BGRL3	SMOC2
SH3BGRL3	ZYX
PLEC	TCOF1
RPL7	NACA2
RPL7	SPDYE4
RPL7	SFRP5
RPL7	RPL4
RPL7	ADCK1
RPL7	ARID2
RPL7	ASTN1
RPL7	EFTUD2
RPL7	EIF3H
RPL7	KHDRBS1
RPL7	PM20D2
RPL7	RPL30
