Probe_Id	Symbol	is.hub	Module	has.cisEQTL	module.rank	cor.w.sqrtBMI	cor.w.logmatsuda	cor.w.logSi	is.keydriver	connectivity
ILMN_1668092	ESAM	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	46
ILMN_1731648	FOXJ2	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	38
ILMN_1787923	PNPLA2	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_2112730	SLC9A4	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	11
ILMN_1735180	NCSTN	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	27
ILMN_1747598	PPP1R11	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_1669094	ZNF672	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	41
ILMN_3238283	LOC100130123	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	8
ILMN_3246766	LOC100132247	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	66
ILMN_1742935	ZNF33B	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	11
ILMN_1813949	CASQ1	TRUE	M2	TRUE	490	PositiveCorr	NegativeCorr	NegativeCorr	FALSE	13
ILMN_3228108	LOC728693	FALSE	M2	FALSE	490	NotCorr	NotCorr	PositiveCorr	FALSE	8
ILMN_1666178	TP53I13	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	10
ILMN_1743763	TJAP1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	21
ILMN_1799856	NOMO2	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	5
ILMN_1791375	STAG3L2	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	4
ILMN_1663667	FLAD1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	35
ILMN_1783444	DVL1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	14
ILMN_3201485	LOC644988	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	4
ILMN_1703430	FLJ10374	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_1705594	NAT10	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	15
ILMN_1654545	CPSF1	TRUE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	15
ILMN_1760628	C9orf86	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	41
ILMN_1750402	SNORD107	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_1705577	LOC442423	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	9
ILMN_1662198	RANGAP1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	38
ILMN_1710207	C10orf6	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	12
ILMN_1739726	JSRP1	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	26
ILMN_1795876	GPS1	TRUE	M2	FALSE	490	NegativeCorr	PositiveCorr	NotCorr	FALSE	40
ILMN_1721977	ARD1A	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	33
ILMN_1709800	POMZP3	FALSE	M2	TRUE	490	NotCorr	NotCorr	NotCorr	FALSE	3
ILMN_1784785	COPS7B	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	15
ILMN_1779404	PUF60	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	117
ILMN_1761828	E2F4	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	16
ILMN_1801421	EMD	TRUE	M2	FALSE	490	NotCorr	PositiveCorr	NotCorr	FALSE	43
ILMN_1775762	GNAI2	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	23
ILMN_1666976	PLD3	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	14
ILMN_3206064	LOC646674	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	6
ILMN_1770356	POLRMT	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	10
ILMN_1703433	PLSCR3	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	7
ILMN_1716488	PACS1	FALSE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	10
ILMN_1672080	NR2F6	TRUE	M2	FALSE	490	NotCorr	NotCorr	NotCorr	FALSE	23
